wordNum,mode,conf
20w,wordcloud,4.0
10w,word,5.0
20w,wordcloud,3.0
10w,wordcloud,4.0
5w,word,1.0
5w,wordcloud,4.0
10w,wordcloud,4.0
10w,wordcloud,2.0
5w,topic-in-a-box,4.0
10w,wordcloud,3.0
20w,word,2.0
20w,word,4.0
10w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
20w,word,4.0
20w,topic-in-a-box,3.0
20w,wordcloud,3.0
20w,word,4.0
10w,wordcloud,4.0
5w,word,2.0
10w,wordcloud,5.0
5w,wordcloud,4.0
5w,word,3.0
5w,histogram,4.0
10w,wordcloud,2.0
5w,wordcloud,1.0
5w,histogram,3.0
20w,topic-in-a-box,2.0
10w,wordcloud,5.0
5w,word,4.0
20w,topic-in-a-box,4.0
5w,word,2.0
10w,wordcloud,4.0
5w,wordcloud,2.0
10w,word,3.0
5w,histogram,4.0
20w,wordcloud,4.0
20w,histogram,2.0
10w,wordcloud,3.0
20w,histogram,5.0
20w,wordcloud,3.0
20w,topic-in-a-box,4.0
10w,topic-in-a-box,4.0
10w,topic-in-a-box,3.0
20w,wordcloud,1.0
5w,word,5.0
10w,topic-in-a-box,4.0
5w,histogram,3.0
5w,topic-in-a-box,2.0
5w,word,2.0
20w,wordcloud,3.0
10w,histogram,4.0
20w,word,3.0
20w,wordcloud,3.0
5w,histogram,5.0
20w,word,3.0
5w,wordcloud,4.0
5w,histogram,4.0
5w,histogram,4.0
5w,word,3.0
5w,histogram,4.0
5w,word,3.0
5w,word,4.0
20w,wordcloud,4.0
20w,word,4.0
20w,histogram,3.0
10w,histogram,4.0
20w,word,4.0
5w,topic-in-a-box,2.0
5w,wordcloud,4.0
20w,word,4.0
10w,topic-in-a-box,3.0
20w,histogram,4.0
20w,histogram,5.0
10w,wordcloud,4.0
20w,wordcloud,3.0
5w,wordcloud,4.0
20w,histogram,4.0
10w,wordcloud,4.0
20w,histogram,4.0
5w,histogram,3.0
5w,histogram,3.0
5w,topic-in-a-box,2.0
10w,wordcloud,4.0
10w,wordcloud,5.0
5w,topic-in-a-box,4.0
10w,histogram,4.0
20w,word,4.0
10w,wordcloud,4.0
5w,wordcloud,4.0
5w,wordcloud,3.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,2.0
10w,word,4.0
5w,topic-in-a-box,4.0
10w,histogram,2.0
10w,word,4.0
5w,word,4.0
5w,topic-in-a-box,2.0
20w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
20w,histogram,4.0
20w,word,3.0
10w,topic-in-a-box,4.0
5w,wordcloud,1.0
20w,wordcloud,3.0
5w,topic-in-a-box,2.0
20w,word,4.0
5w,histogram,4.0
20w,histogram,3.0
5w,word,4.0
5w,word,5.0
20w,wordcloud,4.0
20w,topic-in-a-box,4.0
10w,topic-in-a-box,3.0
10w,histogram,4.0
10w,word,4.0
10w,topic-in-a-box,3.0
20w,wordcloud,3.0
20w,histogram,3.0
10w,word,5.0
20w,histogram,5.0
10w,topic-in-a-box,4.0
10w,histogram,4.0
5w,wordcloud,4.0
5w,word,5.0
20w,topic-in-a-box,3.0
20w,word,1.0
10w,topic-in-a-box,4.0
20w,histogram,3.0
20w,histogram,4.0
10w,wordcloud,4.0
5w,histogram,4.0
10w,histogram,4.0
10w,histogram,4.0
5w,topic-in-a-box,3.0
10w,word,4.0
10w,topic-in-a-box,3.0
10w,word,5.0
10w,topic-in-a-box,4.0
20w,topic-in-a-box,4.0
10w,word,4.0
5w,histogram,4.0
10w,histogram,5.0
10w,topic-in-a-box,4.0
5w,histogram,4.0
5w,word,4.0
10w,wordcloud,3.0
20w,word,3.0
20w,histogram,5.0
20w,wordcloud,4.0
5w,word,2.0
5w,wordcloud,3.0
20w,word,4.0
20w,wordcloud,5.0
10w,wordcloud,3.0
20w,word,5.0
5w,word,3.0
10w,histogram,4.0
10w,word,4.0
10w,histogram,3.0
20w,histogram,4.0
5w,word,3.0
20w,histogram,3.0
10w,topic-in-a-box,5.0
5w,histogram,4.0
20w,word,4.0
5w,histogram,3.0
5w,topic-in-a-box,4.0
10w,wordcloud,4.0
10w,wordcloud,5.0
5w,histogram,4.0
5w,wordcloud,4.0
5w,topic-in-a-box,1.0
20w,wordcloud,5.0
10w,histogram,4.0
10w,wordcloud,4.0
5w,histogram,4.0
5w,word,4.0
5w,topic-in-a-box,4.0
20w,histogram,5.0
10w,histogram,4.0
20w,word,4.0
5w,histogram,4.0
5w,topic-in-a-box,5.0
20w,histogram,3.0
5w,histogram,4.0
20w,wordcloud,4.0
20w,word,4.0
20w,wordcloud,3.0
5w,wordcloud,4.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,2.0
20w,wordcloud,2.0
10w,wordcloud,4.0
20w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
5w,wordcloud,4.0
5w,histogram,2.0
20w,topic-in-a-box,1.0
5w,topic-in-a-box,2.0
20w,histogram,4.0
10w,topic-in-a-box,3.0
10w,histogram,3.0
20w,histogram,4.0
5w,word,4.0
5w,wordcloud,5.0
5w,topic-in-a-box,4.0
20w,word,5.0
20w,histogram,4.0
10w,wordcloud,3.0
5w,word,3.0
10w,word,1.0
10w,topic-in-a-box,5.0
20w,wordcloud,3.0
10w,topic-in-a-box,5.0
5w,wordcloud,3.0
10w,word,4.0
10w,wordcloud,3.0
20w,histogram,5.0
5w,word,3.0
5w,topic-in-a-box,3.0
10w,topic-in-a-box,2.0
5w,histogram,4.0
20w,word,3.0
20w,wordcloud,4.0
20w,histogram,4.0
10w,topic-in-a-box,3.0
20w,wordcloud,3.0
20w,topic-in-a-box,4.0
10w,topic-in-a-box,4.0
10w,wordcloud,3.0
20w,wordcloud,3.0
10w,topic-in-a-box,4.0
10w,histogram,5.0
10w,histogram,4.0
20w,word,4.0
20w,histogram,4.0
5w,wordcloud,5.0
10w,histogram,5.0
20w,histogram,4.0
10w,histogram,4.0
10w,word,4.0
5w,histogram,3.0
5w,histogram,4.0
10w,wordcloud,3.0
5w,wordcloud,2.0
20w,word,2.0
20w,topic-in-a-box,4.0
10w,word,3.0
20w,topic-in-a-box,4.0
10w,histogram,3.0
20w,word,5.0
10w,histogram,5.0
10w,histogram,4.0
5w,word,3.0
20w,topic-in-a-box,3.0
10w,histogram,2.0
5w,histogram,4.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
5w,word,2.0
20w,word,4.0
10w,word,3.0
20w,wordcloud,4.0
10w,topic-in-a-box,2.0
20w,word,3.0
10w,histogram,4.0
5w,histogram,5.0
10w,topic-in-a-box,3.0
10w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
10w,histogram,2.0
20w,word,5.0
5w,word,2.0
5w,word,3.0
5w,topic-in-a-box,4.0
20w,word,3.0
20w,topic-in-a-box,3.0
5w,histogram,2.0
10w,wordcloud,5.0
20w,histogram,4.0
5w,wordcloud,3.0
20w,histogram,5.0
5w,topic-in-a-box,4.0
5w,histogram,4.0
10w,word,4.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
20w,topic-in-a-box,4.0
10w,wordcloud,4.0
10w,histogram,3.0
10w,topic-in-a-box,1.0
20w,histogram,5.0
10w,histogram,4.0
10w,word,3.0
10w,wordcloud,4.0
20w,word,3.0
10w,word,3.0
10w,word,4.0
20w,topic-in-a-box,4.0
20w,topic-in-a-box,4.0
20w,topic-in-a-box,3.0
10w,word,3.0
20w,wordcloud,4.0
5w,histogram,4.0
5w,word,4.0
10w,histogram,4.0
10w,wordcloud,4.0
10w,wordcloud,4.0
10w,topic-in-a-box,2.0
20w,word,4.0
5w,wordcloud,2.0
10w,wordcloud,4.0
20w,topic-in-a-box,3.0
5w,word,5.0
5w,word,2.0
10w,wordcloud,4.0
20w,histogram,4.0
20w,wordcloud,4.0
5w,topic-in-a-box,1.0
10w,topic-in-a-box,4.0
10w,topic-in-a-box,2.0
5w,histogram,2.0
10w,wordcloud,3.0
10w,wordcloud,3.0
20w,wordcloud,5.0
5w,histogram,4.0
20w,topic-in-a-box,5.0
10w,wordcloud,4.0
5w,topic-in-a-box,5.0
5w,word,4.0
20w,histogram,3.0
10w,word,5.0
20w,topic-in-a-box,5.0
10w,topic-in-a-box,3.0
5w,topic-in-a-box,4.0
10w,topic-in-a-box,2.0
5w,word,4.0
20w,wordcloud,3.0
20w,wordcloud,3.0
5w,topic-in-a-box,2.0
20w,topic-in-a-box,5.0
5w,topic-in-a-box,4.0
5w,wordcloud,5.0
10w,wordcloud,4.0
10w,topic-in-a-box,3.0
10w,histogram,4.0
20w,topic-in-a-box,4.0
5w,wordcloud,2.0
10w,word,4.0
10w,wordcloud,1.0
10w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
5w,histogram,3.0
10w,histogram,5.0
5w,word,3.0
10w,wordcloud,3.0
20w,wordcloud,3.0
5w,wordcloud,3.0
20w,topic-in-a-box,3.0
10w,word,4.0
10w,topic-in-a-box,4.0
10w,topic-in-a-box,5.0
10w,histogram,4.0
5w,topic-in-a-box,4.0
20w,topic-in-a-box,5.0
20w,histogram,4.0
5w,word,4.0
20w,topic-in-a-box,2.0
20w,word,3.0
20w,histogram,4.0
20w,wordcloud,4.0
5w,wordcloud,2.0
20w,histogram,2.0
20w,wordcloud,4.0
20w,histogram,3.0
10w,histogram,3.0
20w,topic-in-a-box,4.0
10w,word,4.0
10w,word,4.0
10w,wordcloud,3.0
5w,wordcloud,4.0
20w,histogram,2.0
5w,wordcloud,4.0
10w,topic-in-a-box,3.0
5w,topic-in-a-box,3.0
5w,topic-in-a-box,3.0
20w,word,3.0
20w,topic-in-a-box,4.0
10w,topic-in-a-box,4.0
20w,topic-in-a-box,4.0
5w,histogram,4.0
5w,histogram,3.0
5w,histogram,5.0
5w,topic-in-a-box,3.0
10w,topic-in-a-box,3.0
10w,word,4.0
10w,histogram,3.0
10w,histogram,4.0
20w,word,4.0
5w,histogram,2.0
10w,wordcloud,3.0
10w,wordcloud,3.0
5w,word,3.0
10w,histogram,5.0
20w,wordcloud,5.0
10w,wordcloud,4.0
10w,histogram,3.0
5w,topic-in-a-box,4.0
20w,wordcloud,4.0
20w,histogram,4.0
5w,histogram,4.0
5w,word,5.0
10w,word,4.0
20w,wordcloud,4.0
10w,wordcloud,2.0
20w,word,4.0
5w,topic-in-a-box,4.0
20w,word,5.0
10w,topic-in-a-box,4.0
20w,wordcloud,5.0
5w,wordcloud,4.0
10w,wordcloud,1.0
20w,word,4.0
5w,wordcloud,3.0
20w,histogram,3.0
10w,word,4.0
10w,topic-in-a-box,3.0
5w,word,4.0
5w,word,4.0
10w,word,4.0
5w,wordcloud,4.0
5w,histogram,4.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,3.0
10w,wordcloud,4.0
20w,wordcloud,5.0
20w,histogram,3.0
10w,topic-in-a-box,3.0
10w,word,4.0
20w,wordcloud,4.0
10w,histogram,4.0
20w,histogram,4.0
5w,topic-in-a-box,5.0
5w,wordcloud,3.0
5w,topic-in-a-box,5.0
20w,topic-in-a-box,4.0
20w,wordcloud,4.0
5w,topic-in-a-box,2.0
20w,wordcloud,4.0
20w,wordcloud,5.0
20w,wordcloud,5.0
20w,word,4.0
5w,topic-in-a-box,4.0
20w,topic-in-a-box,5.0
5w,topic-in-a-box,2.0
20w,topic-in-a-box,3.0
20w,topic-in-a-box,3.0
20w,topic-in-a-box,4.0
20w,histogram,4.0
5w,word,4.0
10w,wordcloud,2.0
20w,topic-in-a-box,4.0
10w,word,5.0
5w,wordcloud,4.0
10w,topic-in-a-box,4.0
10w,histogram,4.0
5w,topic-in-a-box,4.0
10w,wordcloud,4.0
20w,topic-in-a-box,3.0
20w,word,4.0
5w,topic-in-a-box,3.0
20w,word,5.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,4.0
10w,histogram,3.0
10w,wordcloud,2.0
10w,word,4.0
5w,topic-in-a-box,5.0
20w,topic-in-a-box,4.0
20w,wordcloud,4.0
20w,wordcloud,5.0
10w,topic-in-a-box,3.0
5w,wordcloud,3.0
20w,topic-in-a-box,4.0
10w,histogram,3.0
10w,word,3.0
5w,topic-in-a-box,3.0
10w,word,5.0
5w,wordcloud,4.0
5w,word,3.0
5w,topic-in-a-box,2.0
10w,topic-in-a-box,4.0
20w,histogram,4.0
5w,word,3.0
10w,word,3.0
10w,wordcloud,4.0
20w,topic-in-a-box,4.0
20w,word,4.0
5w,histogram,2.0
10w,histogram,5.0
20w,wordcloud,4.0
10w,histogram,4.0
10w,topic-in-a-box,4.0
20w,histogram,4.0
10w,wordcloud,3.0
10w,histogram,4.0
5w,wordcloud,4.0
5w,word,4.0
20w,topic-in-a-box,3.0
10w,histogram,4.0
20w,word,4.0
10w,word,4.0
20w,word,1.0
20w,histogram,3.0
20w,histogram,4.0
20w,wordcloud,4.0
10w,wordcloud,4.0
10w,histogram,4.0
20w,histogram,4.0
10w,topic-in-a-box,4.0
20w,histogram,4.0
5w,topic-in-a-box,2.0
10w,histogram,2.0
20w,wordcloud,4.0
5w,histogram,3.0
5w,histogram,3.0
20w,histogram,5.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,3.0
10w,word,5.0
10w,wordcloud,4.0
20w,histogram,4.0
20w,wordcloud,4.0
20w,word,5.0
10w,topic-in-a-box,4.0
10w,topic-in-a-box,2.0
10w,histogram,3.0
20w,histogram,2.0
5w,topic-in-a-box,4.0
10w,topic-in-a-box,5.0
20w,word,5.0
5w,topic-in-a-box,5.0
10w,histogram,2.0
20w,wordcloud,4.0
5w,topic-in-a-box,4.0
10w,histogram,2.0
10w,histogram,4.0
10w,wordcloud,2.0
5w,wordcloud,3.0
20w,wordcloud,4.0
10w,wordcloud,5.0
5w,wordcloud,4.0
10w,topic-in-a-box,4.0
10w,word,2.0
5w,topic-in-a-box,2.0
5w,wordcloud,2.0
5w,histogram,5.0
5w,histogram,3.0
20w,histogram,3.0
5w,word,4.0
10w,topic-in-a-box,2.0
5w,wordcloud,2.0
10w,histogram,3.0
10w,histogram,2.0
5w,topic-in-a-box,3.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
20w,word,5.0
5w,topic-in-a-box,4.0
10w,topic-in-a-box,3.0
5w,word,4.0
10w,histogram,4.0
20w,word,2.0
20w,word,4.0
20w,topic-in-a-box,4.0
5w,word,4.0
20w,wordcloud,4.0
5w,word,4.0
5w,wordcloud,3.0
20w,wordcloud,4.0
20w,histogram,4.0
5w,word,4.0
20w,word,4.0
20w,histogram,4.0
5w,wordcloud,2.0
10w,histogram,4.0
10w,word,5.0
20w,word,5.0
5w,word,5.0
20w,word,4.0
10w,word,4.0
20w,histogram,4.0
20w,topic-in-a-box,4.0
10w,word,1.0
10w,histogram,4.0
10w,wordcloud,4.0
10w,word,5.0
20w,wordcloud,4.0
10w,wordcloud,4.0
10w,word,4.0
20w,topic-in-a-box,5.0
10w,word,4.0
20w,topic-in-a-box,4.0
10w,word,4.0
10w,histogram,2.0
5w,topic-in-a-box,3.0
20w,wordcloud,5.0
20w,topic-in-a-box,2.0
20w,histogram,2.0
10w,word,3.0
20w,wordcloud,4.0
10w,topic-in-a-box,3.0
20w,wordcloud,4.0
10w,histogram,4.0
20w,word,2.0
5w,wordcloud,4.0
5w,word,4.0
10w,wordcloud,3.0
20w,word,3.0
10w,histogram,4.0
10w,word,4.0
10w,topic-in-a-box,3.0
20w,word,2.0
10w,wordcloud,4.0
5w,wordcloud,2.0
5w,word,4.0
5w,topic-in-a-box,4.0
5w,word,4.0
5w,wordcloud,4.0
10w,wordcloud,4.0
20w,wordcloud,4.0
20w,histogram,3.0
20w,word,5.0
10w,wordcloud,3.0
20w,word,3.0
10w,wordcloud,4.0
20w,wordcloud,4.0
10w,topic-in-a-box,4.0
10w,histogram,4.0
20w,wordcloud,5.0
20w,topic-in-a-box,4.0
5w,wordcloud,4.0
10w,wordcloud,4.0
20w,histogram,5.0
5w,wordcloud,5.0
5w,topic-in-a-box,5.0
10w,topic-in-a-box,4.0
20w,wordcloud,4.0
10w,topic-in-a-box,3.0
20w,wordcloud,3.0
10w,wordcloud,5.0
10w,topic-in-a-box,4.0
20w,histogram,4.0
20w,histogram,4.0
5w,word,4.0
5w,wordcloud,5.0
10w,wordcloud,2.0
10w,topic-in-a-box,5.0
10w,topic-in-a-box,4.0
10w,histogram,5.0
10w,histogram,4.0
5w,topic-in-a-box,4.0
5w,histogram,3.0
20w,histogram,4.0
10w,wordcloud,3.0
10w,topic-in-a-box,3.0
10w,histogram,4.0
5w,topic-in-a-box,3.0
20w,wordcloud,4.0
20w,histogram,3.0
20w,word,5.0
5w,wordcloud,3.0
10w,wordcloud,3.0
10w,topic-in-a-box,2.0
20w,word,1.0
10w,word,4.0
20w,histogram,4.0
10w,word,3.0
5w,histogram,4.0
10w,word,5.0
5w,wordcloud,4.0
10w,wordcloud,4.0
10w,topic-in-a-box,3.0
10w,word,2.0
20w,word,4.0
5w,topic-in-a-box,3.0
10w,topic-in-a-box,4.0
10w,topic-in-a-box,5.0
5w,wordcloud,5.0
20w,topic-in-a-box,5.0
20w,word,1.0
20w,wordcloud,4.0
10w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
5w,topic-in-a-box,5.0
10w,word,5.0
20w,word,4.0
20w,word,3.0
10w,wordcloud,2.0
5w,histogram,4.0
20w,word,2.0
5w,histogram,4.0
20w,histogram,4.0
10w,topic-in-a-box,4.0
10w,word,4.0
20w,topic-in-a-box,4.0
20w,histogram,2.0
5w,word,4.0
20w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
20w,wordcloud,4.0
10w,word,3.0
20w,topic-in-a-box,4.0
20w,wordcloud,5.0
10w,topic-in-a-box,4.0
10w,wordcloud,4.0
10w,word,4.0
20w,word,4.0
20w,word,5.0
5w,word,5.0
5w,word,5.0
10w,wordcloud,3.0
5w,word,3.0
20w,topic-in-a-box,4.0
20w,word,3.0
5w,histogram,4.0
10w,word,3.0
10w,topic-in-a-box,4.0
20w,topic-in-a-box,5.0
5w,topic-in-a-box,4.0
20w,wordcloud,4.0
20w,word,4.0
5w,wordcloud,3.0
10w,wordcloud,3.0
10w,wordcloud,3.0
5w,histogram,5.0
20w,topic-in-a-box,2.0
5w,histogram,5.0
20w,histogram,4.0
20w,wordcloud,4.0
5w,word,4.0
5w,word,3.0
20w,topic-in-a-box,5.0
5w,topic-in-a-box,1.0
10w,topic-in-a-box,3.0
10w,histogram,3.0
10w,wordcloud,3.0
10w,histogram,3.0
5w,topic-in-a-box,1.0
5w,histogram,4.0
10w,topic-in-a-box,3.0
5w,histogram,4.0
10w,word,1.0
5w,histogram,2.0
20w,wordcloud,4.0
20w,word,5.0
5w,word,4.0
20w,word,4.0
20w,wordcloud,4.0
5w,topic-in-a-box,4.0
10w,histogram,4.0
5w,histogram,4.0
10w,histogram,2.0
5w,wordcloud,4.0
20w,wordcloud,3.0
20w,wordcloud,4.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,4.0
20w,word,5.0
10w,word,3.0
5w,word,4.0
10w,word,2.0
5w,word,4.0
10w,topic-in-a-box,4.0
20w,word,4.0
10w,wordcloud,3.0
5w,wordcloud,3.0
20w,word,2.0
10w,wordcloud,4.0
10w,wordcloud,4.0
5w,wordcloud,3.0
5w,histogram,4.0
5w,word,5.0
5w,wordcloud,4.0
5w,histogram,4.0
10w,wordcloud,4.0
20w,wordcloud,5.0
20w,histogram,4.0
20w,topic-in-a-box,5.0
10w,histogram,5.0
10w,wordcloud,3.0
5w,topic-in-a-box,4.0
5w,histogram,4.0
20w,topic-in-a-box,4.0
10w,topic-in-a-box,3.0
5w,histogram,4.0
10w,word,4.0
20w,topic-in-a-box,3.0
5w,histogram,3.0
5w,wordcloud,5.0
10w,topic-in-a-box,5.0
10w,word,4.0
10w,word,4.0
20w,wordcloud,4.0
5w,topic-in-a-box,4.0
5w,word,4.0
20w,wordcloud,3.0
10w,topic-in-a-box,3.0
20w,histogram,4.0
10w,word,4.0
20w,word,4.0
20w,word,4.0
5w,topic-in-a-box,5.0
5w,wordcloud,3.0
10w,word,3.0
5w,histogram,4.0
5w,topic-in-a-box,2.0
5w,topic-in-a-box,4.0
20w,topic-in-a-box,4.0
20w,histogram,4.0
10w,histogram,1.0
20w,topic-in-a-box,4.0
20w,word,4.0
20w,topic-in-a-box,2.0
5w,wordcloud,5.0
5w,topic-in-a-box,2.0
5w,topic-in-a-box,3.0
10w,wordcloud,3.0
10w,histogram,4.0
5w,histogram,4.0
5w,histogram,3.0
10w,topic-in-a-box,4.0
5w,topic-in-a-box,4.0
5w,wordcloud,3.0
20w,topic-in-a-box,3.0
10w,topic-in-a-box,3.0
20w,topic-in-a-box,4.0
10w,histogram,3.0
10w,wordcloud,4.0
20w,histogram,4.0
20w,wordcloud,3.0
10w,histogram,3.0
5w,topic-in-a-box,4.0
20w,wordcloud,3.0
10w,word,3.0
20w,wordcloud,3.0
5w,histogram,4.0
20w,wordcloud,4.0
20w,histogram,4.0
10w,topic-in-a-box,1.0
10w,wordcloud,2.0
5w,word,4.0
20w,histogram,2.0
5w,histogram,1.0
10w,histogram,2.0
20w,word,4.0
10w,word,3.0
5w,histogram,4.0
5w,wordcloud,5.0
5w,word,2.0
10w,histogram,4.0
20w,word,2.0
20w,wordcloud,4.0
20w,word,2.0
20w,topic-in-a-box,4.0
20w,histogram,4.0
5w,histogram,4.0
10w,wordcloud,3.0
5w,wordcloud,4.0
